movie_id,title,year,runtime,genres,actor_ids
tt10869088,"Carnies, Clowns and Cocaine",2020,\N,Comedy,nm0271988
tt10886166,365 Days,2020,114,"Drama,Romance","nm11110971,nm9016108,nm0943002,nm4840961"
tt10888708,The Sleepover,2020,100,"Action,Adventure,Comedy","nm9642493,nm5748413,nm7446985,nm5102227"
tt11338498,Michael,2020,\N,Drama,"nm6665413,nm7705907,nm5628139,nm11157155"
tt11347728,Bloody Spurs,2020,45,"Horror,Western","nm4626231,nm4142591,nm2171261,nm2382594"
tt11354154,Escape from Extinction,2020,89,Documentary,nm0000545
tt11368548,New Views: Red Moon,2020,90,"Fantasy,Horror,Mystery","nm11170187,nm11170143,nm11170142,nm11170189,nm11170185"
tt11369498,The Flight,2020,81,Drama,"nm13872399,nm2533609,nm3204740"
tt11372764,Año Cero El Exilio,2020,120,"Action,Sci-Fi,Thriller","nm1460940,nm13515981,nm3854183,nm4564527"
tt11973628,XV Arcane,2020,53,"Comedy,Drama,Thriller","nm8996581,nm11423854,nm8759481,nm8858643"
tt11986408,Plague and Virus in Nostradamus' Twenty-Six Prophecies,2020,45,Documentary,nm11192475
tt11987882,Uraal,2020,\N,Drama,nm2610419
tt11989264,Negri. Sport in the U.S.A.,2020,110,"Documentary,Sport",nm1984126
tt11991446,War Cake,2020,98,Drama,"nm5239209,nm1782502,nm6088656,nm7554043"
tt11991582,Anebala,2020,120,Drama,"nm1272848,nm11431576"
tt11991560,Parimala Lodge,2020,\N,Drama,"nm8701920,nm11431568,nm4401889,nm5308603,nm0710046,nm10275422"
tt11992106,Körlesme,2020,87,Drama,"nm9685096,nm2067919,nm3104126,nm2414404,nm1156535,nm3298043,nm6934790"
tt11992366,Don Juan kopaszodik,2020,70,Drama,"nm1843753,nm0345573,nm0879449,nm0581639"
tt11996462,Lit,2020,123,Drama,"nm13204540,nm10054794,nm10291208,nm6250782"
tt12002786,Monster SeaFood Wars,2020,84,"Comedy,Fantasy,Sci-Fi","nm0394724,nm5451670,nm11436238,nm2934978,nm5272772,nm0363032,nm1571855"
tt12003276,Uzi,2020,101,Drama,"nm7040795,nm10699524,nm11436566,nm2531806,nm11436567,nm8076975,nm5935124"
tt12680508,Minor Premise,2020,95,"Drama,Sci-Fi,Thriller","nm6886664,nm1919704,nm0000796,nm2868374,nm0868893"
tt12687146,Dreamer,2020,72,Documentary,nm2313639
tt12693422,Confounding Father: A Contrarian View of the U.S. Constitution,2020,103,Documentary,nm5068448
tt12700888,Lao Da Bu Xiao,2020,\N,Drama,"nm11734215,nm2626347,nm8818583,nm10021438"
tt12705416,José Luis Castillo Puche. La Realidad Imaginaria,2020,73,Documentary,"nm11683118,nm9887180,nm11735295,nm5595969"
tt12706846,The Cleaner,2020,\N,"Crime,Thriller","nm3174284,nm4667815,nm8555269"
tt12707248,Rima,2020,90,"Drama,Horror,Thriller","nm11735899,nm7892322,nm11735900,nm11735898,nm13727690,nm13068284"
tt13473866,Legacy: From Horns to House,2020,\N,Documentary,"nm12070175,nm3490484,nm12070173"
tt13475054,Love U Kohk-E-Kueng,2020,\N,Comedy,"nm5044433,nm12070509"
tt13476378,My God! Father,2020,104,"Comedy,Romance","nm9624670,nm3022002,nm4021342"
tt13477928,"I, Will: The Doc Willie Ong Story",2020,111,Drama,"nm1698618,nm10506445,nm1202543,nm1006583"
tt13489546,The Mark of the Bell Witch,2020,85,Documentary,"nm9632333,nm10879327,nm8152801,nm12077065"
tt13491620,Unpaused,2020,113,"Drama,Romance","nm3761132,nm7517362,nm3190246,nm5873799"
tt14262350,I Don't Fire Myself,2020,111,Drama,"nm2359794,nm2442113,nm12411477,nm3676169"
tt14263608,The Sand in Rime,2020,92,Crime,nm12412104
tt14278684,Door Gods,2020,90,"Action,Comedy,Fantasy","nm7017913,nm6916107"
tt14280078,Hell Bank Presents: Running Ghost,2020,81,"Comedy,Fantasy,Romance","nm0328636,nm9938318,nm15150358,nm9536792,nm6233775,nm0497834"
tt14290026,What Is This Movie that Ian Is so Excited About It Makes No Sense Whatsoever and There Is No Way It's Going to Be Made without Him Knowing It - Da Best Title Ever Btw:) : The Movie,2020,52,"Action,Adventure,Comedy","nm12260673,nm12421630,nm0353796"
tt14296338,Blippi's Snowflake Scavenger Hunt,2020,52,\N,nm8818931
tt14773790,Din Ratrir Golpo,2020,120,Drama,"nm7185107,nm0244900,nm0611544"
tt14774328,Feel,2020,\N,Drama,"nm7581960,nm1918896,nm5164914,nm1320210,nm4057104,nm9033059"
tt14781530,Benjamim Zambraia e o Autopanóptico,2020,71,Drama,"nm4424864,nm5331170,nm1072736,nm12681421"
tt18232892,The Girl Who Was Born Twice,2020,50,Documentary,nm13395348
tt20101496,"780,000: Our Alien Origin Story",2020,49,Documentary,nm2121950
tt2584702,"Si atunci, ce e libertatea?",2020,133,Drama,"nm3864922,nm1082584,nm1747580,nm0052600"
tt27585151,Bloodless Massacres,2020,\N,\N,"nm14783624,nm14783625,nm14783626"
tt3442126,Sorry I Killed You,2020,98,"Comedy,Horror","nm1057932,nm0004760,nm2273287,nm0307066"
tt3448162,Regardless: The Freddy Soto Story,2020,84,"Biography,Comedy,Documentary","nm0001484,nm1371339,nm1024979,nm1586772"
tt4445490,Following Phil,2020,90,"Drama,Family","nm7378966,nm8291966,nm7381805,nm7359380"
tt4472508,Death in Texas,2020,101,"Action,Drama","nm0001136,nm1237235,nm7403794,nm4859603"
tt5215666,I Am the Prize,2020,94,Comedy,"nm11485297,nm5822934,nm5484898,nm4874957"
tt6975466,Morte à l'avance,2020,45,"Drama,Horror,Thriller","nm10499851,nm6669047,nm10499852,nm10499854"
tt6984220,"Truly, Madly",2020,75,"Drama,Horror","nm10696833,nm9148013,nm4366753,nm7411278"
tt6992258,Home Stay,2020,80,Horror,"nm2985178,nm4344133,nm0489436,nm2389444"
tt7690718,RE-BECCA,2020,85,Sci-Fi,"nm9653308,nm8621020,nm8630124,nm8862894,nm9653305,nm9478565,nm8862895,nm8863073,nm12438274"
tt7701726,Psychos & Socios,2020,83,Crime,"nm3188455,nm2763829,nm6087279,nm3081740"
tt7703924,Infamous,2020,100,"Crime,Drama,Romance","nm2254074,nm4889489,nm3232025,nm2104119"
tt7710382,Glamour,2020,83,Mystery,"nm6872677,nm1345685,nm4110613,nm3613279"
tt8537578,Sayonee,2020,111,"Action,Musical,Romance","nm12028451,nm9176904,nm1127958,nm0802251"
tt8545636,Adventures of Rufus: The Fantastic Pet,2020,82,"Adventure,Family,Fantasy","nm9747637,nm4165439,nm5415647,nm10692645"
tt8571594,Harvest of the Dead: Halloween Night,2020,72,Horror,"nm3457543,nm0819006,nm0267003,nm4133284"
tt9248548,Advent Rising,2020,\N,Sci-Fi,"nm7802988,nm2713918"
tt9261218,Uncorked,2020,104,Drama,"nm0005524,nm11451544,nm11451545,nm11451546"
tt8544234,Los pájaros no vuelan de noche,2020,70,"Drama,Thriller","nm5586398,nm5336017,nm5480584,nm8963620"
tt10868508,Margaux Hartmann,2020,100,Drama,"nm0000322,nm7013406,nm2146938,nm3582738"
tt10887902,I Used to Go Here,2020,80,"Comedy,Drama,Romance","nm1843026,nm1318596,nm5946818,nm5569442,nm1676221"
tt12677502,Vachan(rajasthani),2020,120,Action,"nm11558284,nm9835211,nm11545598,nm10324261"
tt12677622,Death of Spring,2020,\N,Drama,"nm11695163,nm1316905,nm9359302,nm7121255,nm7278703,nm6784403,nm8303774"
tt13465704,Minori Ripe Awakening Harvest,2020,80,Romance,nm3866983
tt10123698,Miss,2020,107,"Comedy,Drama","nm6913087,nm0033389,nm0620964,nm0598857"
